cell_id,glat,glng,lat,lng,count,weight
131,33.9,-117.0,33.923871125,-116.99360257500001,200,501
132,33.9,-116.9,33.92384055769231,-116.90540472115384,104,297
133,33.9,-116.80000000000001,33.9198573150685,-116.80318475342467,146,386
134,33.9,-116.7,33.922802879310346,-116.68461255172414,58,158
135,33.9,-116.60000000000001,33.91369730769231,-116.61238213186815,91,234
136,33.9,-116.5,33.902786524271846,-116.50970473786408,103,260
137,33.9,-114.5,33.90718504219385,-114.53255581737749,24,50
138,34.0,-118.9,34.04440985106383,-118.92233537234043,94,199
139,34.0,-118.80000000000001,34.0281099522807,-118.79882905736841,114,248
140,34.0,-118.7,34.03760281512328,-118.69818545802406,135,313
141,34.0,-118.60000000000001,34.040436485790494,-118.58382608459705,854,1815
142,34.0,-118.5,34.01880277720149,-118.47363969148367,3926,8740
143,34.0,-118.4,34.00966582781624,-118.40331221879525,24470,57608
144,34.0,-118.30000000000001,34.011984815691875,-118.28550611816041,30778,70134
145,34.0,-118.2,34.011912919227996,-118.19692455965652,38829,84969
146,34.0,-118.10000000000001,33.99712266030868,-118.09615137499647,21340,47243
147,34.0,-118.0,34.02239165917724,-118.00274739717277,13162,27653
148,34.0,-117.9,33.995438932374206,-117.90500149794552,12778,25783
149,34.0,-117.80000000000001,34.01164104906881,-117.81390868047501,10931,22162
150,34.0,-117.7,34.023286149470586,-117.70653283520392,7528,15295
151,34.0,-117.60000000000001,34.02512016295492,-117.58011993184633,7725,16398
152,34.0,-117.5,34.00681482112579,-117.52018866119376,3674,7886
153,34.0,-117.4,33.99608928668617,-117.37962055234708,9372,19623
154,34.0,-117.30000000000001,33.99777668585015,-117.32597326971523,11626,26693
155,34.0,-117.2,34.01550399674823,-117.17940621100581,922,1988
156,34.0,-117.10000000000001,34.01884264985146,-117.10369354361276,2454,5625
157,34.0,-117.0,33.97265806349206,-117.01528988888889,63,158
158,34.0,-116.60000000000001,34.014758576271184,-116.58069949152542,59,121
159,34.0,-114.5,33.99705742725546,-114.49848530233716,35,70
160,34.1,-119.2,34.14721608726084,-119.16783153422752,28,56
161,34.1,-119.10000000000001,34.12366481166478,-119.09552162236078,338,697
162,34.1,-119.0,34.065593289034126,-118.99296390341595,278,571
163,34.1,-118.9,34.1022208290553,-118.87743923403185,230,462
164,34.1,-118.80000000000001,34.12911709792389,-118.78633328710916,1106,2246
165,34.1,-118.7,34.12969146932094,-118.7082990728554,1980,4075
166,34.1,-118.60000000000001,34.10383844769299,-118.60779094150864,744,1528
167,34.1,-118.5,34.09607813762996,-118.46874816042671,7893,18843
168,34.1,-118.4,34.12352246191828,-118.37677502321453,3034,6228
169,34.1,-118.30000000000001,34.093463178992,-118.28652948967287,17474,37219
170,34.1,-118.2,34.07821179836443,-118.21375700806922,26444,58548
171,34.1,-118.10000000000001,34.083937210191266,-118.09228995052568,8200,19245
172,34.1,-118.0,34.093150278219845,-117.9970342684327,20987,49588
173,34.1,-117.9,34.09912394601303,-117.9029727378189,14109,32722
174,34.1,-117.80000000000001,34.08762985021037,-117.80939928768589,12789,29248
